date,p (mbar),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3)
2020-01-08 18:40:00,998.57,279.07,3.85,87.3,9.23,8.05,1.17,5.03,8.07,1243.22
2020-01-08 18:50:00,998.58,279.04,3.86,87.5,9.21,8.06,1.15,5.03,8.07,1243.37
2020-01-08 19:00:00,998.66,279.23,4.02,87.3,9.33,8.15,1.19,5.09,8.16,1242.55
2020-01-08 19:10:00,998.77,279.25,3.95,86.7,9.35,8.11,1.24,5.06,8.12,1242.58
2020-01-08 19:20:00,998.95,279.27,3.97,86.6,9.38,8.12,1.26,5.07,8.13,1242.62
2020-01-08 19:30:00,998.92,279.25,3.91,86.4,9.36,8.09,1.27,5.05,8.1,1242.71
2020-01-08 19:40:00,998.84,279.22,3.96,86.9,9.34,8.12,1.22,5.07,8.13,1242.74
2020-01-08 19:50:00,998.92,279.28,4.01,86.8,9.38,8.14,1.24,5.09,8.15,1242.54
2020-01-08 20:00:00,998.98,279.17,3.92,86.9,9.31,8.09,1.22,5.05,8.1,1243.11
2020-01-08 20:10:00,998.88,279.19,3.96,87.1,9.32,8.12,1.2,5.07,8.13,1242.94
2020-01-08 20:20:00,998.9,279.17,3.88,86.7,9.31,8.07,1.24,5.04,8.08,1243.05
2020-01-08 20:30:00,998.95,279.0,3.78,87.1,9.2,8.01,1.19,5.01,8.02,1243.88
2020-01-08 20:40:00,998.94,279.01,3.86,87.5,9.21,8.06,1.15,5.03,8.07,1243.81
2020-01-08 20:50:00,998.91,279.07,3.89,87.3,9.25,8.07,1.17,5.04,8.08,1243.49
2020-01-08 21:00:00,998.87,279.05,3.86,87.3,9.23,8.06,1.17,5.03,8.07,1243.55
2020-01-08 21:10:00,998.84,279.07,3.87,87.3,9.24,8.06,1.17,5.04,8.07,1243.47
2020-01-08 21:20:00,998.76,279.05,3.89,87.5,9.22,8.07,1.15,5.04,8.08,1243.45
2020-01-08 21:30:00,998.73,279.06,3.96,87.9,9.23,8.11,1.12,5.07,8.12,1243.37
2020-01-08 21:40:00,998.63,279.04,3.88,87.6,9.21,8.07,1.14,5.04,8.08,1243.38
2020-01-08 21:50:00,998.5,278.96,3.87,88.1,9.15,8.06,1.09,5.04,8.07,1243.66
2020-01-08 22:00:00,998.5,278.88,3.86,88.5,9.1,8.06,1.05,5.03,8.07,1243.98
2020-01-08 22:10:00,998.65,278.87,3.85,88.4,9.11,8.05,1.06,5.03,8.06,1244.17
2020-01-08 22:20:00,998.52,278.88,3.89,88.7,9.1,8.08,1.03,5.05,8.09,1244.0
2020-01-08 22:30:00,998.45,278.83,3.87,88.9,9.07,8.06,1.01,5.04,8.07,1244.18
2020-01-08 22:40:00,998.6,278.81,3.91,89.2,9.06,8.08,0.98,5.05,8.09,1244.39
2020-01-08 22:50:00,998.6,278.74,3.95,89.9,9.02,8.11,0.91,5.07,8.12,1244.66
2020-01-08 23:00:00,998.62,278.74,4.0,90.2,9.02,8.14,0.88,5.08,8.15,1244.69
2020-01-08 23:10:00,998.77,278.71,4.01,90.4,9.01,8.14,0.86,5.09,8.15,1244.98
2020-01-08 23:20:00,998.6,278.65,4.04,91.1,8.96,8.16,0.8,5.1,8.17,1245.08
2020-01-08 23:30:00,998.65,278.56,4.08,91.9,8.91,8.18,0.72,5.11,8.2,1245.52
2020-01-08 23:40:00,998.65,278.54,4.13,92.3,8.9,8.21,0.68,5.13,8.22,1245.59
2020-01-08 23:50:00,998.53,278.55,4.16,92.5,8.9,8.23,0.67,5.14,8.24,1245.43
2020-01-09 00:00:00,998.55,278.55,4.22,92.9,8.9,8.26,0.63,5.16,8.28,1245.43
2020-01-09 00:10:00,998.46,278.5,4.22,93.3,8.86,8.27,0.59,5.17,8.28,1245.58
2020-01-09 00:20:00,998.42,278.47,4.26,93.7,8.84,8.29,0.56,5.18,8.3,1245.63
2020-01-09 00:30:00,998.3,278.43,4.28,94.2,8.81,8.3,0.51,5.19,8.31,1245.74
2020-01-09 00:40:00,998.25,278.37,4.3,94.7,8.77,8.31,0.46,5.19,8.32,1245.93
2020-01-09 00:50:00,998.19,278.37,4.35,95.1,8.77,8.34,0.43,5.21,8.36,1245.85
2020-01-09 01:00:00,998.09,278.32,4.34,95.4,8.74,8.33,0.4,5.21,8.35,1245.99
2020-01-09 01:10:00,998.09,278.38,4.44,95.7,8.77,8.39,0.38,5.25,8.41,1245.72
2020-01-09 01:20:00,998.06,278.38,4.46,95.8,8.77,8.4,0.37,5.25,8.42,1245.66
2020-01-09 01:30:00,998.03,278.4,4.5,96.0,8.78,8.43,0.35,5.27,8.44,1245.57
2020-01-09 01:40:00,998.03,278.43,4.55,96.1,8.8,8.46,0.34,5.29,8.47,1245.38
2020-01-09 01:50:00,997.93,278.44,4.54,96.1,8.8,8.46,0.34,5.29,8.47,1245.27
2020-01-09 02:00:00,997.89,278.4,4.54,96.3,8.77,8.45,0.32,5.28,8.47,1245.4
2020-01-09 02:10:00,997.75,278.47,4.61,96.4,8.81,8.49,0.32,5.31,8.51,1244.95
2020-01-09 02:20:00,997.73,278.48,4.63,96.5,8.81,8.5,0.31,5.32,8.52,1244.89
2020-01-09 02:30:00,997.57,278.5,4.65,96.6,8.82,8.52,0.3,5.33,8.54,1244.67
2020-01-09 02:40:00,997.54,278.55,4.7,96.6,8.85,8.55,0.3,5.35,8.57,1244.37
2020-01-09 02:50:00,997.46,278.56,4.72,96.7,8.85,8.56,0.29,5.36,8.58,1244.24
2020-01-09 03:00:00,997.48,278.57,4.72,96.7,8.85,8.56,0.29,5.36,8.58,1244.25
2020-01-09 03:10:00,997.43,278.59,4.74,96.7,8.87,8.57,0.29,5.36,8.6,1244.1
2020-01-09 03:20:00,997.33,278.67,4.82,96.7,8.91,8.62,0.29,5.39,8.64,1243.6
2020-01-09 03:30:00,997.25,278.66,4.78,96.6,8.9,8.6,0.3,5.38,8.62,1243.62
2020-01-09 03:40:00,997.17,278.66,4.78,96.6,8.9,8.59,0.3,5.38,8.62,1243.56
2020-01-09 03:50:00,997.04,278.68,4.79,96.6,8.9,8.6,0.3,5.38,8.62,1243.35
2020-01-09 04:00:00,996.93,278.61,4.7,96.5,8.85,8.54,0.31,5.35,8.57,1243.57
2020-01-09 04:10:00,996.8,278.66,4.77,96.7,8.88,8.59,0.29,5.38,8.62,1243.2
2020-01-09 04:20:00,996.57,278.68,4.75,96.6,8.88,8.58,0.3,5.37,8.61,1242.92
2020-01-09 04:30:00,996.53,278.65,4.74,96.7,8.86,8.57,0.29,5.37,8.6,1243.0
2020-01-09 04:40:00,996.46,278.71,4.8,96.8,8.9,8.61,0.28,5.39,8.64,1242.66
2020-01-09 04:50:00,996.26,278.69,4.76,96.8,8.87,8.58,0.28,5.38,8.62,1242.62
2020-01-09 05:00:00,996.06,278.69,4.77,96.9,8.86,8.59,0.27,5.38,8.62,1242.39
2020-01-09 05:10:00,995.92,278.69,4.76,96.9,8.86,8.58,0.27,5.38,8.62,1242.28
2020-01-09 05:20:00,995.87,278.74,4.81,97.0,8.88,8.62,0.27,5.4,8.65,1242.01
2020-01-09 05:30:00,995.8,278.77,4.84,97.0,8.9,8.63,0.27,5.41,8.67,1241.81
2020-01-09 05:40:00,995.68,278.87,4.96,97.2,8.95,8.7,0.25,5.45,8.74,1241.22
2020-01-09 05:50:00,995.54,278.96,5.04,97.2,9.0,8.75,0.25,5.49,8.79,1240.65
2020-01-09 06:00:00,995.37,279.0,5.05,97.1,9.02,8.76,0.26,5.49,8.8,1240.34
2020-01-09 06:10:00,995.17,279.03,5.05,97.0,9.03,8.76,0.27,5.49,8.8,1240.0
2020-01-09 06:20:00,994.95,279.03,5.03,97.0,9.02,8.75,0.27,5.49,8.79,1239.82
2020-01-09 06:30:00,994.88,279.08,5.09,97.1,9.04,8.78,0.26,5.51,8.83,1239.55
2020-01-09 06:40:00,994.88,279.19,5.18,97.0,9.12,8.84,0.27,5.55,8.89,1239.0
2020-01-09 06:50:00,994.71,279.2,5.13,96.7,9.11,8.81,0.3,5.53,8.86,1238.83
2020-01-09 07:00:00,994.53,279.16,5.06,96.6,9.08,8.77,0.31,5.5,8.82,1238.87
2020-01-09 07:10:00,994.43,279.15,5.05,96.6,9.07,8.76,0.31,5.5,8.81,1238.82
2020-01-09 07:20:00,994.35,279.05,4.93,96.5,9.0,8.68,0.31,5.45,8.73,1239.24
2020-01-09 07:30:00,994.19,279.08,4.96,96.6,9.01,8.7,0.31,5.46,8.76,1238.94
2020-01-09 07:40:00,994.09,279.17,5.04,96.6,9.06,8.76,0.31,5.5,8.81,1238.43
2020-01-09 07:50:00,993.9,279.22,5.06,96.5,9.08,8.77,0.32,5.5,8.82,1238.05
2020-01-09 08:00:00,993.88,279.28,5.12,96.5,9.12,8.8,0.32,5.53,8.86,1237.75
2020-01-09 08:10:00,993.74,279.25,5.05,96.3,9.09,8.76,0.34,5.5,8.81,1237.78
2020-01-09 08:20:00,993.68,279.23,5.04,96.4,9.08,8.76,0.33,5.5,8.81,1237.79
2020-01-09 08:30:00,993.59,279.43,5.26,96.6,9.2,8.89,0.31,5.58,8.94,1236.8
2020-01-09 08:40:00,993.44,279.54,5.34,96.5,9.26,8.94,0.32,5.62,9.0,1236.14
2020-01-09 08:50:00,993.44,279.53,5.29,96.2,9.26,8.91,0.35,5.6,8.97,1236.17
2020-01-09 09:00:00,993.42,279.4,5.15,96.2,9.17,8.82,0.35,5.54,8.88,1236.8
2020-01-09 09:10:00,993.41,279.53,5.33,96.5,9.26,8.93,0.32,5.61,8.99,1236.14
2020-01-09 09:20:00,993.32,279.71,5.52,96.6,9.37,9.05,0.32,5.69,9.11,1235.23
2020-01-09 09:30:00,993.29,279.86,5.64,96.4,9.47,9.12,0.34,5.73,9.19,1234.49
2020-01-09 09:40:00,993.19,279.92,5.64,96.1,9.5,9.13,0.37,5.74,9.19,1234.14
2020-01-09 09:50:00,993.14,279.96,5.65,95.9,9.52,9.13,0.39,5.74,9.2,1233.9
2020-01-09 10:00:00,993.06,280.2,5.85,95.7,9.68,9.26,0.42,5.82,9.32,1232.74
2020-01-09 10:10:00,992.9,280.35,5.84,94.7,9.77,9.25,0.52,5.82,9.32,1231.91
2020-01-09 10:20:00,992.77,280.48,5.83,93.9,9.85,9.25,0.6,5.82,9.32,1231.23
2020-01-09 10:30:00,992.63,280.44,5.78,93.9,9.82,9.22,0.6,5.8,9.29,1231.3
2020-01-09 10:40:00,992.51,280.49,5.86,94.2,9.84,9.27,0.57,5.83,9.34,1230.98
2020-01-09 10:50:00,992.44,280.57,5.91,94.0,9.89,9.3,0.59,5.85,9.37,1230.53
2020-01-09 11:00:00,992.34,280.63,5.97,94.1,9.92,9.34,0.59,5.87,9.41,1230.18
2020-01-09 11:10:00,992.15,280.67,5.99,94.1,9.94,9.36,0.59,5.89,9.43,1229.82
2020-01-09 11:20:00,992.02,280.74,6.09,94.3,9.98,9.42,0.57,5.92,9.49,1229.36
2020-01-09 11:30:00,991.84,280.84,6.2,94.5,10.04,9.49,0.55,5.97,9.57,1228.74
2020-01-09 11:40:00,991.71,280.98,6.27,94.1,10.13,9.53,0.6,6.0,9.61,1227.99
2020-01-09 11:50:00,991.59,281.14,6.32,93.5,10.24,9.57,0.67,6.03,9.65,1227.16
2020-01-09 12:00:00,991.53,281.26,6.37,93.0,10.32,9.6,0.72,6.04,9.68,1226.55
2020-01-09 12:10:00,991.33,281.34,6.38,92.7,10.36,9.61,0.76,6.05,9.69,1226.04
2020-01-09 12:20:00,991.16,281.47,6.45,92.4,10.45,9.65,0.79,6.08,9.74,1225.28
2020-01-09 12:30:00,990.9,281.61,6.5,92.0,10.53,9.69,0.84,6.1,9.77,1224.46
2020-01-09 12:40:00,990.67,281.65,6.54,92.1,10.55,9.72,0.83,6.12,9.81,1224.03
2020-01-09 12:50:00,990.48,281.73,6.63,92.3,10.59,9.78,0.82,6.16,9.87,1223.51
2020-01-09 13:00:00,990.21,281.81,6.69,92.3,10.64,9.82,0.82,6.19,9.91,1222.89
2020-01-09 13:10:00,990.02,281.82,6.71,92.5,10.63,9.83,0.8,6.2,9.93,1222.69
2020-01-09 13:20:00,989.98,281.93,6.82,92.5,10.71,9.91,0.8,6.25,10.01,1222.13
2020-01-09 13:30:00,989.92,282.12,6.94,92.1,10.84,9.98,0.86,6.3,10.09,1221.24
2020-01-09 13:40:00,989.79,282.36,7.12,91.8,11.01,10.11,0.9,6.38,10.21,1220.02
2020-01-09 13:50:00,989.55,282.9,7.47,90.8,11.41,10.36,1.05,6.54,10.47,1217.36
2020-01-09 14:00:00,989.36,283.6,7.83,88.9,11.94,10.62,1.33,6.7,10.73,1214.08
2020-01-09 14:10:00,989.21,283.93,7.95,87.7,12.2,10.7,1.5,6.76,10.82,1212.48
2020-01-09 14:20:00,989.23,284.11,7.96,86.7,12.35,10.71,1.64,6.76,10.83,1211.73
2020-01-09 14:30:00,989.24,284.21,7.97,86.2,12.43,10.72,1.72,6.77,10.84,1211.31
2020-01-09 14:40:00,989.18,284.27,7.95,85.7,12.48,10.7,1.79,6.76,10.82,1210.99
2020-01-09 14:50:00,989.17,284.31,7.93,85.4,12.52,10.69,1.83,6.75,10.81,1210.81
2020-01-09 15:00:00,989.12,284.33,7.86,84.9,12.53,10.64,1.89,6.72,10.75,1210.73
2020-01-09 15:10:00,988.98,284.24,7.8,85.1,12.44,10.59,1.85,6.69,10.71,1211.01
2020-01-09 15:20:00,988.97,284.31,7.79,84.7,12.5,10.59,1.91,6.69,10.71,1210.7
2020-01-09 15:30:00,989.0,284.29,7.79,84.8,12.48,10.59,1.9,6.69,10.7,1210.82
2020-01-09 15:40:00,989.01,284.27,7.79,84.9,12.47,10.59,1.88,6.68,10.7,1210.92
2020-01-09 15:50:00,988.99,284.28,7.75,84.6,12.48,10.56,1.92,6.67,10.67,1210.87
2020-01-09 16:00:00,988.95,284.31,7.71,84.2,12.5,10.53,1.98,6.65,10.64,1210.7
2020-01-09 16:10:00,988.96,284.27,7.69,84.3,12.47,10.51,1.96,6.64,10.63,1210.89
2020-01-09 16:20:00,988.93,284.2,7.65,84.5,12.41,10.49,1.92,6.62,10.6,1211.17
2020-01-09 16:30:00,988.81,284.16,7.62,84.6,12.37,10.46,1.9,6.61,10.58,1211.24
2020-01-09 16:40:00,988.76,284.16,7.59,84.5,12.36,10.44,1.92,6.6,10.56,1211.23
2020-01-09 16:50:00,988.7,284.14,7.61,84.7,12.34,10.45,1.89,6.6,10.57,1211.24
2020-01-09 17:00:00,988.63,284.15,7.63,84.8,12.34,10.47,1.88,6.61,10.59,1211.15
2020-01-09 17:10:00,988.58,284.1,7.58,84.8,12.3,10.43,1.87,6.59,10.55,1211.32
2020-01-09 17:20:00,988.51,283.92,7.53,85.6,12.15,10.4,1.75,6.57,10.52,1212.06
2020-01-09 17:30:00,988.5,283.87,7.51,85.8,12.11,10.39,1.72,6.56,10.51,1212.27
2020-01-09 17:40:00,988.47,283.82,7.45,85.7,12.06,10.34,1.73,6.53,10.46,1212.47
2020-01-09 17:50:00,988.38,283.79,7.41,85.7,12.03,10.31,1.72,6.52,10.43,1212.54
2020-01-09 18:00:00,988.39,283.79,7.44,85.9,12.03,10.34,1.7,6.53,10.46,1212.54
2020-01-09 18:10:00,988.3,283.77,7.44,86.0,12.02,10.33,1.68,6.53,10.46,1212.52
2020-01-09 18:20:00,988.29,283.83,7.53,86.2,12.06,10.4,1.66,6.57,10.52,1212.22
2020-01-09 18:30:00,988.27,283.85,7.54,86.2,12.07,10.41,1.67,6.58,10.53,1212.15
2020-01-09 18:40:00,988.22,283.86,7.55,86.2,12.08,10.41,1.67,6.58,10.54,1212.04
2020-01-09 18:50:00,988.07,283.85,7.53,86.2,12.06,10.4,1.66,6.57,10.53,1211.95
2020-01-09 19:00:00,988.0,283.82,7.56,86.6,12.03,10.42,1.61,6.59,10.55,1212.02
2020-01-09 19:10:00,988.09,283.8,7.6,86.9,12.02,10.45,1.58,6.6,10.58,1212.16
2020-01-09 19:20:00,988.02,283.79,7.61,87.1,12.01,10.46,1.55,6.61,10.59,1212.16
2020-01-09 19:30:00,987.95,283.7,7.64,87.8,11.94,10.48,1.46,6.62,10.61,1212.45
2020-01-09 19:40:00,987.93,283.59,7.68,88.7,11.85,10.51,1.34,6.64,10.64,1212.88
2020-01-09 19:50:00,987.9,283.55,7.75,89.4,11.81,10.56,1.25,6.67,10.69,1213.04
2020-01-09 20:00:00,987.84,283.47,7.78,90.1,11.74,10.58,1.16,6.69,10.71,1213.29
2020-01-09 20:10:00,987.75,283.4,7.85,91.0,11.68,10.63,1.05,6.72,10.76,1213.5
2020-01-09 20:20:00,987.63,283.44,7.86,90.9,11.7,10.64,1.07,6.73,10.77,1213.22
2020-01-09 20:30:00,987.62,283.45,7.89,91.0,11.71,10.66,1.05,6.74,10.79,1213.16
2020-01-09 20:40:00,987.54,283.51,7.87,90.5,11.76,10.64,1.12,6.73,10.78,1212.81
2020-01-09 20:50:00,987.52,283.52,7.84,90.3,11.76,10.62,1.14,6.72,10.75,1212.79
2020-01-09 21:00:00,987.53,283.51,7.79,90.1,11.75,10.59,1.16,6.7,10.72,1212.86
2020-01-09 21:10:00,987.49,283.44,7.82,90.7,11.7,10.61,1.09,6.71,10.74,1213.11
2020-01-09 21:20:00,987.41,283.56,7.93,90.7,11.78,10.69,1.1,6.76,10.82,1212.5
2020-01-09 21:30:00,987.29,283.77,8.0,89.9,11.94,10.74,1.21,6.79,10.88,1211.47
2020-01-09 21:40:00,987.21,283.96,8.07,89.2,12.1,10.79,1.31,6.83,10.93,1210.53
2020-01-09 21:50:00,987.18,284.15,8.12,88.4,12.24,10.82,1.42,6.85,10.96,1209.71
2020-01-09 22:00:00,987.17,284.25,8.15,88.0,12.33,10.85,1.48,6.86,10.99,1209.26
2020-01-09 22:10:00,987.16,284.31,8.16,87.7,12.38,10.85,1.52,6.87,11.0,1208.99
2020-01-09 22:20:00,987.16,284.15,8.12,88.4,12.24,10.82,1.42,6.85,10.96,1209.69
2020-01-09 22:30:00,987.09,283.91,8.11,89.8,12.05,10.82,1.23,6.85,10.96,1210.63
2020-01-09 22:40:00,986.99,283.81,8.13,90.6,11.96,10.84,1.12,6.86,10.98,1210.97
2020-01-09 22:50:00,986.95,283.88,8.17,90.4,12.02,10.86,1.15,6.87,11.01,1210.61
2020-01-09 23:00:00,986.92,283.99,8.19,89.9,12.1,10.88,1.22,6.88,11.02,1210.14
2020-01-09 23:10:00,986.9,284.09,8.1,88.8,12.18,10.81,1.36,6.84,10.96,1209.71
2020-01-09 23:20:00,986.91,284.2,7.98,87.4,12.27,10.72,1.55,6.79,10.87,1209.3
2020-01-09 23:30:00,986.88,284.26,7.99,87.1,12.32,10.73,1.59,6.79,10.87,1209.0
2020-01-09 23:40:00,986.79,284.28,7.98,87.0,12.33,10.72,1.6,6.79,10.87,1208.85
2020-01-09 23:50:00,986.72,284.25,7.97,87.1,12.3,10.72,1.59,6.78,10.86,1208.9
2020-01-10 00:00:00,986.72,284.27,7.95,86.9,12.32,10.7,1.61,6.78,10.85,1208.82
2020-01-10 00:10:00,986.68,284.33,7.88,86.2,12.36,10.65,1.71,6.74,10.8,1208.58
2020-01-10 00:20:00,986.61,284.27,7.81,86.1,12.31,10.6,1.71,6.71,10.74,1208.77
2020-01-10 00:30:00,986.62,284.28,7.73,85.6,12.32,10.54,1.77,6.67,10.69,1208.77
2020-01-10 00:40:00,986.58,284.25,7.66,85.4,12.29,10.49,1.79,6.64,10.63,1208.91
2020-01-10 00:50:00,986.5,284.29,7.53,84.4,12.32,10.4,1.92,6.58,10.54,1208.69
2020-01-10 01:00:00,986.58,284.12,7.55,85.5,12.18,10.41,1.77,6.59,10.55,1209.51
2020-01-10 01:10:00,986.59,284.2,7.47,84.6,12.24,10.36,1.89,6.56,10.5,1209.2
2020-01-10 01:20:00,986.55,284.28,7.52,84.4,12.31,10.39,1.92,6.58,10.53,1208.8
2020-01-10 01:30:00,986.44,284.21,7.47,84.6,12.24,10.36,1.89,6.56,10.5,1209.02
2020-01-10 01:40:00,986.4,283.84,7.47,86.7,11.94,10.36,1.59,6.56,10.5,1210.55
2020-01-10 01:50:00,986.38,283.68,7.46,87.6,11.82,10.35,1.47,6.55,10.49,1211.21
2020-01-10 02:00:00,986.28,283.63,7.47,88.0,11.77,10.36,1.41,6.56,10.5,1211.35
2020-01-10 02:10:00,986.24,283.75,7.45,87.2,11.86,10.34,1.52,6.55,10.49,1210.79
2020-01-10 02:20:00,986.21,283.73,7.42,87.1,11.85,10.32,1.53,6.53,10.46,1210.85
2020-01-10 02:30:00,986.42,283.94,7.26,84.9,12.02,10.21,1.82,6.46,10.35,1210.22
2020-01-10 02:40:00,986.43,284.41,6.96,80.6,12.41,10.0,2.41,6.33,10.14,1208.32
2020-01-10 02:50:00,986.3,284.6,6.76,78.5,12.56,9.86,2.7,6.24,10.0,1207.46
2020-01-10 03:00:00,986.56,284.65,6.64,77.5,12.62,9.78,2.84,6.19,9.91,1207.51
2020-01-10 03:10:00,986.6,284.56,6.59,77.7,12.54,9.75,2.8,6.17,9.88,1207.96
2020-01-10 03:20:00,986.45,284.44,6.52,78.0,12.43,9.7,2.74,6.14,9.83,1208.35
2020-01-10 03:30:00,986.37,284.39,6.38,77.5,12.39,9.6,2.79,6.08,9.74,1208.51
2020-01-10 03:40:00,986.47,284.46,6.27,76.6,12.45,9.54,2.91,6.04,9.67,1208.37
2020-01-10 03:50:00,986.59,284.48,6.17,75.9,12.48,9.47,3.01,5.99,9.6,1208.42
2020-01-10 04:00:00,986.72,284.46,6.12,75.7,12.47,9.44,3.03,5.97,9.57,1208.64
2020-01-10 04:10:00,986.89,284.37,6.19,76.4,12.41,9.48,2.93,6.0,9.61,1209.12
2020-01-10 04:20:00,986.96,284.09,6.34,78.6,12.19,9.58,2.61,6.06,9.71,1210.32
2020-01-10 04:30:00,987.02,283.91,6.4,79.9,12.04,9.62,2.42,6.08,9.75,1211.14
2020-01-10 04:40:00,986.93,283.69,6.39,81.1,11.86,9.61,2.24,6.08,9.74,1212.02
2020-01-10 04:50:00,986.99,283.49,6.38,82.1,11.7,9.61,2.1,6.08,9.74,1212.91
2020-01-10 05:00:00,986.99,283.31,6.43,83.4,11.56,9.64,1.92,6.1,9.77,1213.67
2020-01-10 05:10:00,987.0,283.17,6.45,84.3,11.45,9.66,1.8,6.11,9.78,1214.28
2020-01-10 05:20:00,987.01,283.2,6.34,83.5,11.48,9.58,1.89,6.06,9.71,1214.2
2020-01-10 05:30:00,987.1,283.18,6.3,83.3,11.47,9.55,1.92,6.04,9.68,1214.36
2020-01-10 05:40:00,987.19,283.04,6.34,84.3,11.37,9.58,1.78,6.06,9.71,1215.02
2020-01-10 05:50:00,987.21,282.98,6.3,84.4,11.32,9.56,1.77,6.04,9.68,1215.32
2020-01-10 06:00:00,987.19,282.95,6.29,84.5,11.3,9.55,1.75,6.04,9.67,1215.43
2020-01-10 06:10:00,987.31,283.01,6.15,83.3,11.35,9.46,1.9,5.98,9.58,1215.31
2020-01-10 06:20:00,987.33,283.06,6.04,82.4,11.39,9.39,2.01,5.94,9.51,1215.16
2020-01-10 06:30:00,987.57,283.01,5.96,82.1,11.37,9.33,2.04,5.9,9.45,1215.61
2020-01-10 06:40:00,987.6,283.07,5.86,81.2,11.42,9.27,2.15,5.86,9.39,1215.42
2020-01-10 06:50:00,987.72,283.09,5.8,80.7,11.44,9.23,2.21,5.83,9.35,1215.45
2020-01-10 07:00:00,987.86,283.03,5.75,80.7,11.4,9.2,2.2,5.81,9.31,1215.86
2020-01-10 07:10:00,987.92,283.02,5.75,80.7,11.4,9.2,2.2,5.81,9.31,1215.93
2020-01-10 07:20:00,987.91,283.02,5.72,80.5,11.4,9.18,2.22,5.8,9.29,1215.93
2020-01-10 07:30:00,988.02,282.97,5.71,80.7,11.37,9.17,2.19,5.8,9.29,1216.24
2020-01-10 07:40:00,988.22,282.87,5.7,81.1,11.3,9.16,2.14,5.79,9.27,1216.88
2020-01-10 07:50:00,988.3,282.85,5.69,81.1,11.29,9.16,2.13,5.78,9.27,1217.02
2020-01-10 08:00:00,988.38,282.85,5.68,81.0,11.3,9.15,2.15,5.78,9.26,1217.08
2020-01-10 08:10:00,988.58,283.0,5.6,79.7,11.42,9.1,2.32,5.75,9.21,1216.66
2020-01-10 08:20:00,988.9,282.95,5.58,79.7,11.41,9.09,2.32,5.74,9.19,1217.15
2020-01-10 08:30:00,989.09,282.88,5.58,80.0,11.36,9.09,2.27,5.74,9.19,1217.64
2020-01-10 08:40:00,989.27,282.82,5.54,80.0,11.33,9.06,2.27,5.72,9.16,1218.05
2020-01-10 08:50:00,989.28,282.79,5.46,79.7,11.31,9.01,2.3,5.69,9.11,1218.22
2020-01-10 09:00:00,989.28,282.76,5.34,79.2,11.28,8.94,2.35,5.64,9.03,1218.38
2020-01-10 09:10:00,989.36,282.64,5.29,79.5,11.2,8.9,2.3,5.62,9.0,1218.97
2020-01-10 09:20:00,989.46,282.74,5.11,78.0,11.28,8.8,2.48,5.55,8.89,1218.71
2020-01-10 09:30:00,989.67,282.76,4.95,76.9,11.31,8.7,2.61,5.48,8.79,1218.85
2020-01-10 09:40:00,989.93,282.8,4.8,75.8,11.35,8.61,2.75,5.43,8.69,1218.95
2020-01-10 09:50:00,990.02,282.84,4.75,75.3,11.39,8.58,2.81,5.41,8.66,1218.86
2020-01-10 10:00:00,989.97,282.85,4.74,75.2,11.4,8.57,2.83,5.4,8.66,1218.75
2020-01-10 10:10:00,989.99,282.91,4.7,74.7,11.45,8.55,2.9,5.39,8.64,1218.53
2020-01-10 10:20:00,989.99,283.0,4.52,73.3,11.52,8.44,3.07,5.32,8.53,1218.19
2020-01-10 10:30:00,990.12,283.1,4.43,72.3,11.6,8.39,3.21,5.29,8.47,1217.9
2020-01-10 10:40:00,990.31,283.14,4.48,72.3,11.64,8.42,3.22,5.3,8.5,1217.91
2020-01-10 10:50:00,990.39,283.21,4.42,71.6,11.7,8.38,3.32,5.28,8.46,1217.68
2020-01-10 11:00:00,990.4,283.21,4.38,71.4,11.7,8.36,3.35,5.27,8.44,1217.7
2020-01-10 11:10:00,990.44,283.15,4.46,72.1,11.66,8.4,3.25,5.3,8.49,1217.99
2020-01-10 11:20:00,990.43,283.17,4.5,72.2,11.67,8.43,3.25,5.31,8.51,1217.88
2020-01-10 11:30:00,990.42,283.21,4.68,72.9,11.7,8.53,3.17,5.38,8.62,1217.65
2020-01-10 11:40:00,990.5,283.14,4.73,73.5,11.66,8.57,3.09,5.4,8.65,1217.99
2020-01-10 11:50:00,990.66,283.07,4.79,74.1,11.61,8.6,3.01,5.42,8.68,1218.43
2020-01-10 12:00:00,990.75,282.99,4.84,74.7,11.56,8.63,2.92,5.44,8.71,1218.83
2020-01-10 12:10:00,990.71,282.92,4.89,75.3,11.5,8.66,2.84,5.46,8.74,1219.07
2020-01-10 12:20:00,990.65,282.82,4.99,76.4,11.42,8.72,2.69,5.49,8.8,1219.44
2020-01-10 12:30:00,990.6,282.8,5.02,76.7,11.4,8.74,2.66,5.51,8.83,1219.45
2020-01-10 12:40:00,990.5,282.86,5.09,76.8,11.44,8.78,2.65,5.54,8.87,1219.09
2020-01-10 12:50:00,990.45,282.88,5.1,76.8,11.45,8.79,2.66,5.54,8.88,1218.99
2020-01-10 13:00:00,990.4,282.88,5.06,76.6,11.45,8.77,2.68,5.53,8.85,1218.94
2020-01-10 13:10:00,990.4,282.94,5.03,76.1,11.49,8.75,2.75,5.51,8.83,1218.69
2020-01-10 13:20:00,990.33,282.96,4.89,75.3,11.5,8.66,2.84,5.46,8.74,1218.6
